Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
PLIN.JK,Plaza Indonesia Realty Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
POLI.JK,Pollux Hotels Group Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
POLL.JK,Pollux Properties Indonesia Tb,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
PPRO.JK,PP Properti Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
PUDP.JK,Pudjiadi Prestige Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
PURI.JK,Puri Global Sukses Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
PWON.JK,Pakuwon Jati Tbk.,Stock,Indonesia,Real Estate,Real Estate - Diversified,8. Property
RBMS.JK,Ristia Bintang Mahkotasejati T,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
RDTX.JK,Roda Vivatex Tbk,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
REAL.JK,Repower Asia Indonesia Tbk.,Stock,Indonesia,Real Estate,Real Estate - Diversified,8. Property
RELF.JK,Graha Mitra Asia Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
RISE.JK,Jaya Sukses Makmur Sentosa Tbk,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
ROCK.JK,Rockfields Properti Indonesia,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
RODA.JK,Pikko Land Development Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
SAGE.JK,Saausaha Gemilangindah Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
SATU.JK,Kota Satu Properti Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
SMDM.JK,Suryamas Dutamakmur Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
SMRA.JK,Summarecon Agung Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
SUPR.JK,Solusi Tunas Pratama Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
SWID.JK,Saraswanti Indoland Developmen,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
TAMA.JK,Lancartama Sejati Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
TARA.JK,Agung Semesta Sejahtera Tbk.,Stock,Indonesia,Real Estate,Real Estate - Diversified,8. Property
TOWR.JK,Sarana Menara Nusantara Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
TRIN.JK,Perintis Triniti Properti Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
TRUE.JK,Triniti Dinamik Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
URBN.JK,Urban Jakarta Propertindo Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
VAST.JK,Vastland Indonesia Tbk.,Stock,Indonesia,Real Estate,Real Estate Services,8. Property
WINR.JK,Winner Nusantara Jaya Tbk.,Stock,Indonesia,Real Estate,Real Estate - Development,8. Property
