Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
SKRN.JK,Superkrane Mitra Utama Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
SMIL.JK,Sarana Mitra Luas Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
SOSS.JK,Shield On Service Tbk.,Stock,Indonesia,Industrials,Staffing & Employment Services,3. Industrials
SOUL.JK,Mitra Tirta Buwana Tbk.,Stock,Indonesia,Industrials,Specialty Business Services,3. Industrials
TBMS.JK,Tembaga Mulia Semanan Tbk.,Stock,Indonesia,Industrials,Metal Fabrication,3. Industrials
TFAS.JK,Telefast Indonesia Tbk.,Stock,Indonesia,Industrials,Staffing & Employment Services,3. Industrials
TIRA.JK,Tira Austenite Tbk,Stock,Indonesia,Industrials,Industrial Distribution,3. Industrials
TOTO.JK,Surya Toto Indonesia Tbk.,Stock,Indonesia,Industrials,Building Products & Equipment,3. Industrials
TRJA.JK,Transkon Jaya Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
TSPC.JK,Tempo Scan Pacific Tbk.,Stock,Indonesia,Industrials,Conglomerates,3. Industrials
VISI.JK,Satu Visi Putra Tbk.,Stock,Indonesia,Industrials,Industrial Distribution,3. Industrials
VOKS.JK,Voksel Electric Tbk.,Stock,Indonesia,Industrials,Electrical Equipment & Parts,3. Industrials
VTNY.JK,Venteny Fortuna International,Stock,Indonesia,Industrials,Staffing & Employment Services,3. Industrials
WIDI.JK,Widiant Jaya Krenindo Tbk.,Stock,Indonesia,Industrials,Rental & Leasing Services,3. Industrials
WMPP.JK,Widodo Makmur Perkasa Tbk.,Stock,Indonesia,Industrials,Conglomerates,3. Industrials
