Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
MDKI.JK,Emdeki Utama Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
MOLI.JK,Madusari Murni Indah Tbk.,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
NAIK.JK,Adiwarna Anugerah Abadi Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
NCKL.JK,Trimegah Bangun Persada Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
NICE.JK,Adhi Kartiko Pratama Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
NICL.JK,PAM Mineral Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
NPGF.JK,Nusa Palapa Gemilang Tbk.,Stock,Indonesia,Basic Materials,Agricultural Inputs,2. Basic Materials
OBMD.JK,OBM Drilchem Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
OKAS.JK,Ancora Indonesia Resources Tbk,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
POLY.JK,Asia Pacific Fibers Tbk,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
PSAB.JK,J Resources Asia Pasifik Tbk.,Stock,Indonesia,Basic Materials,Gold,2. Basic Materials
PTRO.JK,Petrosea Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
SAMF.JK,Saraswanti Anugerah Makmur Tbk,Stock,Indonesia,Basic Materials,Agricultural Inputs,2. Basic Materials
SBMA.JK,Surya Biru Murni Acetylene Tbk,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
SINI.JK,Singaraja Putra Tbk.,Stock,Indonesia,Basic Materials,Lumber & Wood Production,2. Basic Materials
SMBR.JK,Semen Baturaja Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
SMCB.JK,Solusi Bangun Indonesia Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
SMGA.JK,Sumber Mineral Global Abadi Tb,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
SMGR.JK,Semen Indonesia (Persero) Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
SMLE.JK,Sinergi Multi Lestarindo Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
SPMA.JK,Suparma Tbk.,Stock,Indonesia,Basic Materials,Paper & Paper Products,2. Basic Materials
SQMI.JK,Wilton Makmur Indonesia Tbk.,Stock,Indonesia,Basic Materials,Gold,2. Basic Materials
SRSN.JK,Indo Acidatama Tbk,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
SULI.JK,SLJ Global Tbk.,Stock,Indonesia,Basic Materials,Lumber & Wood Production,2. Basic Materials
TINS.JK,Timah Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
TIRT.JK,Tirta Mahakam Resources Tbk,Stock,Indonesia,Basic Materials,Lumber & Wood Production,2. Basic Materials
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,Stock,Indonesia,Basic Materials,Paper & Paper Products,2. Basic Materials
TPIA.JK,Chandra Asri Pacific Tbk.,Stock,Indonesia,Basic Materials,Specialty Chemicals,2. Basic Materials
UNIC.JK,Unggul Indah Cahaya Tbk.,Stock,Indonesia,Basic Materials,Chemicals,2. Basic Materials
UNTR.JK,United Tractors Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
WSBP.JK,Waskita Beton Precast Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
WTON.JK,Wijaya Karya Beton Tbk.,Stock,Indonesia,Basic Materials,Building Materials,2. Basic Materials
ZINC.JK,Kapuas Prima Coal Tbk.,Stock,Indonesia,Basic Materials,Other Industrial Metals & Mining,2. Basic Materials
