Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
MPOW.JK,Megapower Makmur Tbk.,Stock,Indonesia,Utilities,Utilities - Independent Power Producers,10. Infrastructure
MSIN.JK,MNC Digital Entertainment Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
MSKY.JK,MNC Sky Vision Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
MTEL.JK,Dayamitra Telekomunikasi Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
MTPS.JK,Meta Epsi Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
NETV.JK,Net Visi Media Tbk.,Stock,Indonesia,Communication Services,Broadcasting,10. Infrastructure
NFCX.JK,NFC Indonesia Tbk.,Stock,Indonesia,Communication Services,Internet Content & Information,10. Infrastructure
NRCA.JK,Nusa Raya Cia Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
OASA.JK,Maharaksa Biru Energi Tbk.,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
PBSA.JK,Paramita Bangun Sarana Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
PGAS.JK,Perusahaan Gas Negara Tbk.,Stock,Indonesia,Utilities,Utilities - Regulated Gas,10. Infrastructure
PGEO.JK,Pertamina Geothermal Energy Tb,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
PKPK.JK,Perdana Karya Perkasa Tbk,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
POWR.JK,Cikarang Listrindo Tbk.,Stock,Indonesia,Utilities,Utilities - Independent Power Producers,10. Infrastructure
PTPP.JK,PP (Persero) Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
PPRE.JK,PP Presisi Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
PTPW.JK,Pratama Widya Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
RAAM.JK,Tripar Multivision Plus Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
RAJA.JK,Rukun Raharja Tbk.,Stock,Indonesia,Utilities,Utilities - Regulated Gas,10. Infrastructure
RONY.JK,Aesler Grup Internasional Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
SCMA.JK,Surya Citra Media Tbk.,Stock,Indonesia,Communication Services,Broadcasting,10. Infrastructure
SMKM.JK,Sumber Mas Konstruksi Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
SOFA.JK,Boston Furniture Industries Tb,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
SOLA.JK,Xolare RCR Energy Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
SSIA.JK,Surya Semesta Internusa Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
TBIG.JK,Tower Bersama Infrastructure T,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
TEBE.JK,Dana Brata Luhur Tbk.,Stock,Indonesia,Industrials,Infrastructure Operations,10. Infrastructure
TELE.JK,Omni Inovasi Indonesia Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
TGRA.JK,Terregra Asia Energy Tbk.,Stock,Indonesia,Utilities,Utilities - Renewable,10. Infrastructure
TLKM.JK,Telkom Indonesia (Persero) Tbk.,Stock,Indonesia,Communication Services,Telecom Services,10. Infrastructure
TMPO.JK,Tempo Intimedia Tbk.,Stock,Indonesia,Communication Services,Publishing,10. Infrastructure
TOPS.JK,Totalindo Eka Persada Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
TOTL.JK,Total Bangun Persada Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
VERN.JK,Verona Indah Pictures Tbk.,Stock,Indonesia,Communication Services,Entertainment,10. Infrastructure
VIVA.JK,Visi Media Asia Tbk.,Stock,Indonesia,Communication Services,Broadcasting,10. Infrastructure
WEGE.JK,Wijaya Karya Bangunan Gedung T,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
WIKA.JK,Wijaya Karya (Persero) Tbk.,Stock,Indonesia,Industrials,Engineering & Construction,10. Infrastructure
