Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
DNAR.JK,Bank Oke Indonesia Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
FUJI.JK,Fuji Finance Indonesia Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
GSMF.JK,Equity Development Investment,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
HDFA.JK,Radana Bhaskara Finance Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
IBFN.JK,Intan Baru Prana Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
INPC.JK,Bank Artha Graha Internasional,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
JMAS.JK,Asuransi Jiwa Syariah Jasa Mit,Stock,Indonesia,Financial Services,Insurance - Life,7. Finance
KREN.JK,Quantum Clovera Investama Tbk.,Stock,Indonesia,Financial Services,Asset Management,7. Finance
LIFE.JK,MSIG Life Insurance Indonesia,Stock,Indonesia,Financial Services,Insurance - Life,7. Finance
LPGI.JK,Lippo General Insurance Tbk.,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
LPPS.JK,Lenox Pasifik Investama Tbk.,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
MASB.JK,Bank Multiarta Sentosa Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
MAYA.JK,Bank Mayapada Internasional Tb,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
MCOR.JK,Bank China Construction Bank I,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
MEGA.JK,Bank Mega Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
MGNA.JK,Magna Investama Mandiri Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
MREI.JK,Maskapai Reasuransi Indonesia,Stock,Indonesia,Financial Services,Insurance - Reinsurance,7. Finance
MTWI.JK,Malacca Trust Wuwungan Insuran,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
NISP.JK,Bank OCBC NISP Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
NOBU.JK,Bank Nationalnobu Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
PADI.JK,Minna Padi Investama Sekuritas,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
PALM.JK,Provident Investasi Bersama Tb,Stock,Indonesia,Financial Services,Asset Management,7. Finance
PANS.JK,Panin Sekuritas Tbk.,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
PEGE.JK,Panca Global Kapital Tbk.,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
PNBN.JK,Bank Pan Indonesia Tbk,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
PNBS.JK,Bank Panin Dubai Syariah Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
