Ticker,Nama,Type,Region
ARTO.JK,Bank Jago Tbk.,Stock,Indonesia
ASBI.JK,Asuransi Bintang Tbk.,Stock,Indonesia
ASDM.JK,Asuransi Dayin Mitra Tbk.,Stock,Indonesia
ASGR.JK,Astra Graphia Tbk.,Stock,Indonesia
ASHA.JK,Cilacap Samudera Fishing Indus,Stock,Indonesia
ASII.JK,Astra International Tbk.,Stock,Indonesia
ASJT.JK,Asuransi Jasa Tania Tbk.,Stock,Indonesia
ASLC.JK,Autopedia Sukses Lestari Tbk.,Stock,Indonesia
ASLI.JK,Asri Karya Lestari Tbk.,Stock,Indonesia
ASMI.JK,Asuransi Maximus Graha Persada,Stock,Indonesia
ASPI.JK,Andalan Sakti Primaindo Tbk.,Stock,Indonesia
ASRI.JK,Alam Sutera Realty Tbk.,Stock,Indonesia
ASRM.JK,Asuransi Ramayana Tbk.,Stock,Indonesia
ASSA.JK,Adi Sarana Armada Tbk.,Stock,Indonesia
ATAP.JK,Trimitra Prawara Goldland Tbk.,Stock,Indonesia
ATIC.JK,Anabatic Technologies Tbk.,Stock,Indonesia
ATLA.JK,Atlantis Subsea Indonesia Tbk.,Stock,Indonesia
AUTO.JK,Astra Otoparts Tbk.,Stock,Indonesia
AVIA.JK,Avia Avian Tbk.,Stock,Indonesia
AWAN.JK,Era Digital Media Tbk.,Stock,Indonesia
AXIO.JK,Tera Data Indonusa Tbk.,Stock,Indonesia
AYAM.JK,Janu Putra Sejahtera Tbk.,Stock,Indonesia
AYLS.JK,Agro Yasa Lestari Tbk.,Stock,Indonesia
PTBA.JK,Bukit Asam Tbk.,Stock,Indonesia
BABP.JK,Bank MNC Internasional Tbk.,Stock,Indonesia
BABY.JK,Multitrend Indo Tbk.,Stock,Indonesia
BACA.JK,Bank Capital Indonesia Tbk.,Stock,Indonesia
BAIK.JK,Bersama Mencapai Puncak Tbk.,Stock,Indonesia
BAJA.JK,Saranacentral Bajatama Tbk.,Stock,Indonesia
BALI.JK,Bali Towerindo Sentra Tbk.,Stock,Indonesia
BANK.JK,Bank Aladin Syariah Tbk.,Stock,Indonesia
BAPA.JK,Bekasi Asri Pemula Tbk.,Stock,Indonesia
BAPI.JK,Bhakti Agung Propertindo Tbk.,Stock,Indonesia
BATA.JK,Sepatu Bata Tbk.,Stock,Indonesia
BATR.JK,Benteng Api Technic Tbk.,Stock,Indonesia
BAUT.JK,Mitra Angkasa Sejahtera Tbk.,Stock,Indonesia
BAYU.JK,Bayu Buana Tbk,Stock,Indonesia
BBCA.JK,Bank Central Asia Tbk.,Stock,Indonesia
BBHI.JK,Allo Bank Indonesia Tbk.,Stock,Indonesia
BBKP.JK,Bank KB Bukopin Tbk.,Stock,Indonesia
BBLD.JK,Buana Finance Tbk.,Stock,Indonesia
